"","Capital","Centroid","Minimum"
"Chechnya 1994",5737,6154,4936
"Kosovo 1999",4839,5650,4083
"Estonia 2007",4337,4967,3397
"Georgia 2008",5789,6341,4466
"Ukraine 2014",4880,5629,3860
"Syria 2015",5875,6635,4887
"United States 2016",0,0,0
