ccode1,cowName1,ccode2,cowName2,signDay,signMonth,signYear,EIFDay,EIFMonth,EIFYear,type,category1,category2,category3,span,renewType,renewYears,terminated,durationActual,endYearEstimate,asymmetry,categoryConf,UNTS,fullText,sourceType,source,factivaConf,factivaSign,factivaEIF,DCAid
411,EQG,560,SAF,16,2,2004,16,2,2004,sector,COMMISSION,,,-77,-77,-77,0,,2010,0,high,,Y,treaty,South Africa Treaty Series,,,,DCADv1.0-1569
420,GAM,640,TUR,23,3,1990,,,,sector,TREX,,,,,,-88,,1996,1,low,,N,treaty,Treaty,,,,DCADv1.0-1570
420,GAM,640,TUR,5,5,1999,11,11,1999,general,DCA,DIC,,5,-66,-66,0,,2010,1,high,,Y,treaty,Turkey Ministry of Foreign Affairs International Treaty Database,,,,DCADv1.0-1571
420,GAM,640,TUR,,,2009,15,9,2009,general,DCA,,,,,,-99,,2010,0,low,,,factiva,"Wires, newspapers, transcripts",3,1,1,DCADv1.0-1572
420,GAM,770,PAK,,,1998,,,,sector,TREX,,,,,,-88,,2004,0,low,,,factiva,"Wires, newspapers, transcripts",2,-99,,DCADv1.0-1573
432,MLI,560,SAF,2,5,2005,,,,general,DCA,,,5,-66,-66,-88,,2010,0,high,,Y,treaty,South Africa Treaty Series,,,,DCADv1.0-1574
432,MLI,640,TUR,26,9,2000,16,8,2006,sector,TREX,,,3,-66,-66,0,,2010,1,high,,NE,treaty,Turkey Ministry of Foreign Affairs International Treaty Database,,,,DCADv1.0-1575
432,MLI,640,TUR,26,9,2000,16,8,2006,general,DCA,,,3,-66,-66,0,,2010,1,high,,NE,treaty,Turkey Ministry of Foreign Affairs International Treaty Database,,,,DCADv1.0-1576
433,SEN,560,SAF,30,4,2008,30,4,2008,general,DCA,,,-77,-77,-77,0,,2010,0,high,,Y,treaty,South Africa Treaty Series,,,,DCADv1.0-1577
433,SEN,640,TUR,1,12,1998,15,1,1999,general,DCA,,,3,-66,-66,0,,2010,1,high,,Y,treaty,Turkey Ministry of Foreign Affairs International Treaty Database,,,,DCADv1.0-1578
433,SEN,640,TUR,1,12,1998,,,,sector,TREX,,,,,,-88,,2004,1,atypical,,,factiva,"Wires, newspapers, transcripts",3,1,,DCADv1.0-1579
434,BEN,481,GAB,7,4,2010,,,,sector,TREX,,,,,,-88,,2010,0,med,,,factiva,"Wires, newspapers, transcripts",3,1,,DCADv1.0-1580
434,BEN,560,SAF,24,6,2008,24,6,2008,general,DCA,,,-77,-77,-77,0,,2010,0,high,,Y,treaty,South Africa Treaty Series,,,,DCADv1.0-1581
435,MAA,640,TUR,28,6,2002,8,7,2002,sector,TREX,,,,,,0,,2010,1,low,,N,treaty,Turkey Ministry of Foreign Affairs International Treaty Database,,,,DCADv1.0-1582
439,BFO,640,TUR,13,9,2001,12,7,2002,general,DCA,,,5,-66,-66,0,,2010,1,atypical,,NE,treaty,Turkey Ministry of Foreign Affairs International Treaty Database,,,,DCADv1.0-1583
439,BFO,640,TUR,13,9,2001,12,7,2002,sector,TREX,,,5,-66,-66,0,,2010,1,high,,NE,treaty,Turkey Ministry of Foreign Affairs International Treaty Database,,,,DCADv1.0-1584
450,LBR,475,NIG,24,8,2007,,,,sector,TREX,,,,,,-88,,2010,1,atypical,,,factiva,"Wires, newspapers, transcripts",3,1,,DCADv1.0-1585
450,LBR,517,RWA,13,2,2008,,,,general,DCA,,,,,,-88,,2010,0,low,,,factiva,"Wires, newspapers, transcripts",3,1,,DCADv1.0-1586
452,GHA,475,NIG,,,2004,,,,sector,TREX,,,,,,-88,,2010,0,low,,,factiva,"Wires, newspapers, transcripts",1,1,,DCADv1.0-1587
452,GHA,560,SAF,6,10,2000,6,10,2000,sector,TREX,,,5,-66,-66,0,,2010,0,high,,Y,treaty,South Africa Treaty Series,,,,DCADv1.0-1588
461,TOG,560,SAF,22,9,1997,22,9,1997,general,DCA,,,5,-66,-66,0,,2010,0,high,,Y,treaty,South Africa Treaty Series,,,,DCADv1.0-1590
471,CAO,482,CEN,23,8,2006,24,8,2006,sector,COMMISSION,,,-77,-77,-77,-99,,2010,0,high,144552,Y,treaty,UNTS,,,,DCADv1.0-1591
475,NIG,560,SAF,14,3,2001,14,3,2001,general,DCA,,,5,-66,-66,0,,2010,0,high,,Y,treaty,South Africa Treaty Series,,,,DCADv1.0-1592
475,NIG,663,JOR,6,3,2006,,,,general,DCA,DIC,,,,,-88,,2010,0,low,,,factiva,"Wires, newspapers, transcripts",1,1,,DCADv1.0-1593
475,NIG,750,IND,15,10,2007,,,,general,DCA,,,5,-66,-66,-88,,2010,0,high,,Y,treaty,India Ministry of External Affairs,,,,DCADv1.0-1594
475,NIG,770,PAK,9,6,2010,,,,general,DCA,TREX,,,,,-88,,2010,0,low,,,factiva,"Wires, newspapers, transcripts",2,1,,DCADv1.0-1595
475,NIG,770,PAK,25,6,2010,,,,general,DIC,PROCUREMENT,RESEARCH,,,,-88,,2010,0,low,,,factiva,"Wires, newspapers, transcripts",2,1,,DCADv1.0-1596
481,GAB,560,SAF,1,11,2006,1,11,2006,general,DCA,,,5,-66,-66,0,,2010,0,high,,Y,treaty,South Africa Treaty Series,,,,DCADv1.0-1597
482,CEN,560,SAF,11,2,2007,11,2,2007,general,DCA,,,5,-57,5,0,,2010,0,high,,Y,treaty,South Africa Treaty Series,,,,DCADv1.0-1598
483,CHA,620,LIB,,6,1980,,,,general,DCA,,,,,,-88,,1986,0,low,,,factiva,"Wires, newspapers, transcripts",1,1,,DCADv1.0-1599
483,CHA,651,EGY,,,2009,,,,general,DCA,,,,,,-88,,2010,1,low,,N,treaty,Egypt Ministry of Foreign Affairs,,,,DCADv1.0-1600
484,CON,560,SAF,14,4,2008,14,4,2008,general,DCA,,,6,-66,-66,0,,2010,0,high,,Y,treaty,South Africa Treaty Series,,,,DCADv1.0-1601
484,CON,640,TUR,28,9,2005,2,5,2007,general,DCA,,,2,-66,-66,0,,2010,1,atypical,,NE,treaty,Turkey Ministry of Foreign Affairs International Treaty Database,,,,DCADv1.0-1602
484,CON,710,CHN,26,6,2000,,,,sector,TREX,,,,,,-88,,2006,1,atypical,,,factiva,"Wires, newspapers, transcripts",2,1,,DCADv1.0-1603
490,DRC,552,ZIM,1,12,2000,,,,general,DCA,,,,,,-88,,2006,0,low,,,factiva,"Wires, newspapers, transcripts",1,1,,DCADv1.0-1604
490,DRC,560,SAF,18,6,2004,18,6,2004,general,DCA,,,3,-66,-66,0,,2010,0,high,,Y,treaty,South Africa Treaty Series,,,,DCADv1.0-1605
490,DRC,666,ISR,22,1,1983,,,,sector,PROCUREMENT,TREX,,,,,-88,,1989,1,atypical,,,factiva,"Wires, newspapers, transcripts",2,1,,DCADv1.0-1606
500,UGA,540,ANG,6,9,2005,,,,sector,TREX,DCA,,,,,-88,,2010,0,low,,,factiva,"Wires, newspapers, transcripts",2,1,,DCADv1.0-1607
