"","Year","Target","icb_viol_crisis_cent","icb_viol_crisis_sev","icb_viol_actor_sev","icb","dcid","Incident","dcid_severity","rei","rei_infoops","rei_cyberdisrup","rei_matsupp"
"42",2014,"Germany",NA,NA,NA,NA,1,"German steel mill degrade",5,NA,NA,NA,NA
"45",2014,"Poland",NA,NA,NA,NA,1,"Operation Pawn Storm",3,NA,NA,NA,NA
"46",2014,"Poland",NA,NA,NA,NA,1,"CyberBerkut Polish Stock Exchange",2,NA,NA,NA,NA
"64",2014,"Georgia",NA,NA,NA,NA,1,"APT28//FancyBear",3,NA,NA,NA,NA
"84",2014,"Moldova",NA,NA,NA,NA,NA,NA,NA,1,0,0,1
"14",2015,"Syria",1,1,2,1,NA,NA,NA,NA,NA,NA,NA
"28",2015,"US ",NA,NA,NA,NA,1,"DoD breach",3,NA,NA,NA,NA
"29",2015,"US",NA,NA,NA,NA,1,"2016 Presidential Election/FSB/APT29",4,NA,NA,NA,NA
"30",2015,"US",NA,NA,NA,NA,1,"JCS network breach",3,NA,NA,NA,NA
"38",2015,"France",NA,NA,NA,NA,1,"TV5Monde recon",3,NA,NA,NA,NA
"39",2015,"France",NA,NA,NA,NA,1,"TV5Monde degrade",5,NA,NA,NA,NA
"43",2015,"Germany",NA,NA,NA,NA,1,"Bundestag breach/Fancy Bear ",3,1,0,1,0
"58",2015,"Ukraine",NA,NA,NA,NA,1,"Sandworm/BlackEnery DDoS",5,NA,NA,NA,NA
"59",2015,"Ukraine",NA,NA,NA,NA,1,"Sandworm/BlackEnery Sabotage",5,NA,NA,NA,NA
"65",2015,"Russia ",NA,NA,NA,NA,1,"Russian DDoS Banks",2,NA,NA,NA,NA
"66",2015,"Turkey",NA,NA,NA,NA,1,"Russian DDoS TUR Govt",2,NA,NA,NA,NA
"83",2015,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,1,1,0,0
"31",2016,"US",NA,NA,NA,NA,1,"2016 Presidential Election/GRU/APT28/Guccifer 2.0",4,NA,NA,NA,NA
"32",2016,"US",NA,NA,NA,NA,1,"PowerDuke/APT29",2,NA,NA,NA,NA
"37",2016,"UK",NA,NA,NA,NA,1,"Brexit election meddling",4,NA,NA,NA,NA
"40",2016,"France",NA,NA,NA,NA,1,"Macron campaign hack",3,NA,NA,NA,NA
"60",2016,"Ukraine",NA,NA,NA,NA,1,"Petya ",4,NA,NA,NA,NA
"61",2016,"Ukraine",NA,NA,NA,NA,1,"TeleBots Bank Heist",3,NA,NA,NA,NA
"62",2016,"Ukraine",NA,NA,NA,NA,1,"Kiev Power outage",5,NA,NA,NA,NA
"75",2016,"Austria",NA,NA,NA,NA,NA,NA,NA,1,0,1,1
"76",2016,"Bulgaria",NA,NA,NA,NA,NA,NA,NA,1,1,1,0
"77",2016,"Italy",NA,NA,NA,NA,NA,NA,NA,1,1,0,1
"78",2016,"Montenegro",NA,NA,NA,NA,NA,NA,NA,1,0,1,0
"79",2016,"Norway",NA,NA,NA,NA,NA,NA,NA,1,0,1,0
"80",2016,"Netherlands",NA,NA,NA,NA,NA,NA,NA,1,1,0,0
"81",2016,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,1,1,0,0
"82",2016,"United States",NA,NA,NA,NA,NA,NA,NA,1,1,1,0
"69",2017,"Czech Republic",NA,NA,NA,NA,NA,NA,NA,1,1,1,0
"70",2017,"France",NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"71",2017,"Germany",NA,NA,NA,NA,NA,NA,NA,1,1,1,0
"72",2017,"Malta",NA,NA,NA,NA,NA,NA,NA,1,0,1,0
"73",2017,"Netherlands",NA,NA,NA,NA,NA,NA,NA,1,1,0,0
"74",2017,"Spain",NA,NA,NA,NA,NA,NA,NA,1,1,0,0
